#oto generated by Order: A Python Tool
#Q  count
0.010	0
0.020	0
0.030	0
0.040	0
0.050	0
0.060	1
0.070	0
0.080	1
0.090	0
0.100	0
0.110	0
0.120	0
0.130	1
0.140	1
0.150	0
0.160	1
0.170	1
0.180	1
0.190	0
0.200	4
0.210	1
0.220	1
0.230	1
0.240	4
0.250	2
0.260	0
0.270	4
0.280	5
0.290	0
0.300	8
0.310	5
0.320	8
0.330	7
0.340	3
0.350	7
0.360	8
0.370	10
0.380	5
0.390	14
0.400	11
0.410	13
0.420	19
0.430	14
0.440	12
0.450	22
0.460	16
0.470	24
0.480	20
0.490	20
0.500	25
0.510	25
0.520	20
0.530	29
0.540	27
0.550	26
0.560	33
0.570	32
0.580	28
0.590	29
0.600	30
0.610	28
0.620	30
0.630	39
0.640	35
0.650	41
0.660	32
0.670	41
0.680	38
0.690	35
0.700	48
0.710	43
0.720	42
0.730	53
0.740	38
0.750	46
0.760	38
0.770	59
0.780	51
0.790	52
0.800	51
0.810	51
0.820	43
0.830	50
0.840	39
0.850	45
0.860	50
0.870	43
0.880	33
0.890	49
0.900	38
0.910	31
0.920	21
0.930	24
0.940	12
0.950	18
0.960	16
0.970	10
0.980	4
0.990	3
1.000	0
