#oto generated by Order: A Python Tool
#Q  count
0.010	43
0.020	39
0.030	49
0.040	61
0.050	69
0.060	83
0.070	82
0.080	83
0.090	119
0.100	118
0.110	132
0.120	137
0.130	167
0.140	202
0.150	208
0.160	188
0.170	251
0.180	245
0.190	297
0.200	336
0.210	336
0.220	370
0.230	448
0.240	438
0.250	479
0.260	505
0.270	627
0.280	662
0.290	764
0.300	784
0.310	866
0.320	914
0.330	1003
0.340	1103
0.350	1195
0.360	1296
0.370	1369
0.380	1491
0.390	1612
0.400	1832
0.410	1829
0.420	2035
0.430	2225
0.440	2410
0.450	2696
0.460	2798
0.470	2981
0.480	3237
0.490	3344
0.500	3663
0.510	3661
0.520	3903
0.530	3846
0.540	3988
0.550	4017
0.560	3853
0.570	3934
0.580	3937
0.590	3968
0.600	4123
0.610	4187
0.620	4435
0.630	4367
0.640	4577
0.650	4654
0.660	4711
0.670	4837
0.680	4895
0.690	5022
0.700	5093
0.710	5114
0.720	5260
0.730	5329
0.740	5239
0.750	5270
0.760	5343
0.770	5451
0.780	5296
0.790	5420
0.800	5213
0.810	5015
0.820	5061
0.830	4858
0.840	4708
0.850	4611
0.860	4419
0.870	4151
0.880	3983
0.890	3663
0.900	3397
0.910	3056
0.920	2662
0.930	2335
0.940	1982
0.950	1530
0.960	1279
0.970	865
0.980	598
0.990	325
1.000	61
